"Date","Candidate","AverageScore"
"2024-03-26T00:00:00Z","Trump","44.5"
"2024-03-26T00:00:00Z","Kennedy","8.91"
"2024-03-27T00:00:00Z","Biden","42"
"2024-03-27T00:00:00Z","Trump","44"
"2024-03-27T00:00:00Z","Kennedy","8"
"2024-03-28T00:00:00Z","Biden","44"
"2024-03-28T00:00:00Z","Trump","43"
"2024-03-29T00:00:00Z","Biden","41.92"
"2024-03-29T00:00:00Z","Trump","42.16"
"2024-03-29T00:00:00Z","Kennedy","8.36"
"2024-03-30T00:00:00Z","Biden","42.5"
"2024-03-30T00:00:00Z","Trump","43"
"2024-03-30T00:00:00Z","Kennedy","2"
"2024-03-31T00:00:00Z","Biden","43"
"2024-03-31T00:00:00Z","Trump","43"
"2024-04-01T00:00:00Z","Biden","41.67"
"2024-04-01T00:00:00Z","Trump","43"
"2024-04-01T00:00:00Z","Kennedy","13"
"2024-04-02T00:00:00Z","Biden","42.5"
"2024-04-02T00:00:00Z","Trump","43.1"
"2024-04-02T00:00:00Z","Kennedy","7.8"
"2024-04-03T00:00:00Z","Biden","41.5"
"2024-04-03T00:00:00Z","Trump","41.86"
"2024-04-03T00:00:00Z","Kennedy","13.17"
"2024-04-04T00:00:00Z","Biden","40.54"
"2024-04-04T00:00:00Z","Trump","44.7"
"2024-04-04T00:00:00Z","Kennedy","9.8"
"2024-04-05T00:00:00Z","Biden","44"
"2024-04-05T00:00:00Z","Trump","45.25"
"2024-04-05T00:00:00Z","Kennedy","8"
"2024-04-06T00:00:00Z","Biden","42.75"
"2024-04-06T00:00:00Z","Trump","43.25"
"2024-04-06T00:00:00Z","Kennedy","8.33"
"2024-04-07T00:00:00Z","Biden","41.67"
"2024-04-07T00:00:00Z","Trump","44.26"
"2024-04-07T00:00:00Z","Kennedy","8.65"
"2024-04-08T00:00:00Z","Biden","41.85"
"2024-04-08T00:00:00Z","Trump","45.26"
"2024-04-08T00:00:00Z","Kennedy","9.23"
"2024-04-09T00:00:00Z","Biden","42.58"
"2024-04-09T00:00:00Z","Trump","44.4"
"2024-04-09T00:00:00Z","Kennedy","7.43"
"2024-04-10T00:00:00Z","Biden","44.5"
"2024-04-10T00:00:00Z","Trump","47"
"2024-04-10T00:00:00Z","Kennedy","11"
"2024-04-11T00:00:00Z","Biden","42.45"
